epoch,accuracy,precision,recall,f1_score,loss,train_time,memory
1,0.920545073375262,0.892991710625471,0.9614604462474645,0.9259621019730416,0.29492913414934774,47.47842025756836,1292.8046875
2,0.8874213836477988,0.9616858237547893,0.814604462474645,0.8820557873929278,0.20829925478640413,29.326759815216064,1314.71875
3,0.8155136268343816,0.9894996911673872,0.6498985801217039,0.7845249755142018,0.1084529584986618,28.95700693130493,1314.6015625
4,0.9303983228511531,0.9746328437917223,0.8884381338742393,0.9295415959252971,0.07014887446500173,29.156546354293823,1315.015625
5,0.9394129979035639,0.970995670995671,0.9099391480730223,0.9394764397905759,0.029658049759782625,29.578173875808716,1314.95703125
6,0.9484276729559749,0.9727311461440137,0.9261663286004057,0.9488778054862843,0.015351290500286415,29.37757134437561,1315.07421875
7,0.9454926624737946,0.9713552800342027,0.9217038539553752,0.9458784346378019,0.006829293801384304,29.130839347839355,1314.9609375
8,0.9377358490566038,0.9692640692640693,0.908316430020284,0.9378010471204189,0.0021720560109202824,29.550835847854614,1314.94921875
9,0.9387840670859539,0.9742470536883457,0.9054766734279919,0.9386038687973086,0.0014250446499319582,29.623318433761597,1314.9609375
10,0.9471698113207547,0.9714529186195143,0.9249492900608519,0.9476309226932669,0.015576179788344907,29.650089025497437,1315.328125
