epoch,accuracy,precision,recall,f1_score,loss,train_time,memory
1,0.9167714884696017,0.8859984697781178,0.9590062111801242,0.921057864386558,0.3299457163454799,41.774327754974365,1289.828125
2,0.9368972746331237,0.9255233494363929,0.9519668737060042,0.9385588895692999,0.1537952048632268,43.860981702804565,1288.08203125
3,0.9488469601677149,0.9436044135676338,0.9561076604554866,0.9498148909913616,0.08706805400450525,39.02922224998474,1288.57421875
4,0.9473794549266248,0.9489626556016597,0.9469979296066252,0.947979274611399,0.05502260269572213,46.11430287361145,1288.5078125
5,0.9542976939203355,0.9467263115087434,0.9639751552795031,0.9552728764874846,0.08254659362039818,42.01038575172424,1288.46875
6,0.9561844863731657,0.9494702526487367,0.9648033126293996,0.9570753748202916,0.01846942537995773,33.33508634567261,1289.3984375
7,0.9561844863731657,0.9433279742765274,0.9718426501035197,0.9573730369161738,0.0075262459493942255,39.77712345123291,1289.20703125
8,0.9555555555555556,0.9516195161951619,0.9610766045548654,0.9563246806757314,0.0025164302352404804,28.901719093322754,1289.3125
9,0.9540880503144654,0.9552238805970149,0.9540372670807453,0.9546302050963331,0.0033594841538821247,28.997379064559937,1288.9765625
10,0.9528301886792453,0.9581589958158996,0.94824016563147,0.9531737773152965,0.0014196141066526529,29.68405771255493,1289.56640625
