epoch,accuracy,precision,recall,f1_score,loss,train_time,memory
1,0.9276729559748428,0.944969905417025,0.9101449275362319,0.92723054207973,0.24831601622915347,28.422430276870728,1280.54296875
2,0.9454926624737946,0.9311724689875951,0.9635610766045548,0.9470899470899471,0.0787939148193765,27.51242756843567,1283.3671875
3,0.9375262054507337,0.9608184588593818,0.913871635610766,0.9367572156196944,0.02240650264775011,27.50492525100708,1283.5234375
4,0.9322851153039833,0.9699011680143755,0.8939958592132505,0.9304029304029304,0.00409458988213166,34.0546772480011,1283.328125
5,0.9337526205450734,0.9649977846699158,0.901863354037267,0.9323630136986302,0.0009955576239721194,28.699676036834717,1283.4140625
6,0.9358490566037736,0.9680426098535286,0.9031055900621118,0.9344473007712082,0.0009821439255112295,38.070321559906006,1283.34765625
7,0.9356394129979035,0.9705357142857143,0.9002070393374741,0.9340494092373791,0.00022066329873168296,33.977317571640015,1283.6015625
8,0.9352201257861635,0.968833481745325,0.9010351966873706,0.9337052134735035,7.370792936574851e-05,28.175857543945312,1283.71875
9,0.9358490566037736,0.9688750555802579,0.9022774327122153,0.9343910806174958,4.261750392186306e-05,28.039406776428223,1283.6171875
10,0.9350104821802935,0.9692376281765492,0.9002070393374741,0.9334478316874195,2.9819528934954718e-05,27.72030234336853,1283.55859375
