epoch,accuracy,precision,recall,f1_score,loss,train_time,memory
1,0.950513734535542,0.9351372861122165,0.9698720594304581,0.9521880064829822,0.22181743246127214,28.98319935798645,1282.2890625
2,0.9630949884671839,0.952112676056338,0.9764754436648783,0.9641401792991035,0.07107932161238713,29.034984350204468,1286.55859375
3,0.9624659257706017,0.9445324881141046,0.9839042509286009,0.9638164544168183,0.021927545042021625,28.72501540184021,1286.25
4,0.9618368630740197,0.9498193496587716,0.9764754436648783,0.9629629629629629,0.004555626181086193,28.865175485610962,1286.6171875
5,0.9496749842734326,0.9747716398434102,0.9248865043334709,0.9491740787801779,0.005628476694722465,29.90949296951294,1286.27734375
6,0.9597399874187461,0.9596209311907705,0.9612051176227817,0.9604123711340207,0.0034556164937564007,32.47465229034424,1286.3203125
7,0.9582721744600545,0.9598842018196857,0.9579034255055716,0.9588927907457137,0.0003516567073297776,35.03682804107666,1286.2578125
8,0.9607884252463829,0.9529983792544571,0.9706974824597606,0.9617665099161725,2.814196637130147e-05,28.688153743743896,1283.4765625
9,0.9595302998532187,0.9565929565929566,0.9640940982253405,0.9603288797533401,1.0973553270937919e-05,29.657114267349243,1286.21875
10,0.9597399874187461,0.9562372188139059,0.964919521254643,0.9605587510271159,5.717669009138709e-06,29.265210390090942,1286.375
