epoch,accuracy,precision,recall,f1_score,loss,train_time,memory
1,0.9544977982805619,0.9426163723916533,0.9694593479158069,0.9558494404883011,0.1872507453439024,55.805402755737305,3879.64453125
2,0.9276577898930594,0.9705615942028986,0.8844407758976476,0.9255020513927877,0.12473079406186764,57.255067348480225,3878.98046875
3,0.9534493604529252,0.9414360208584035,0.9686339248865043,0.9548413344182262,0.09698026309958292,56.625707149505615,3879.0546875
4,0.934367791989935,0.9676418439716312,0.9009492364836978,0.9331053643941013,0.08137757935439559,57.020010471343994,3878.9375
5,0.9295449779828057,0.9065056486170627,0.9603796945934792,0.9326653306613226,0.14120788485828906,59.02172303199768,3879.2109375
6,0.9423359194799749,0.9235015772870663,0.9665703673132481,0.9445452712240371,0.11345094427079512,58.20820713043213,3879.15234375
7,0.9417068567833927,0.917802882742501,0.9723483285183656,0.9442885771543086,0.09149541467556127,58.50879406929016,3879.2265625
8,0.9278674774585867,0.9391634980988594,0.9174576970697482,0.9281837160751566,0.08688582627998175,58.57415437698364,3878.66015625
9,0.9335290417278256,0.9126175548589341,0.9612051176227817,0.9362814070351759,0.10857256095531947,58.42531371116638,3878.71875
10,0.8968337177605368,0.8494390155627941,0.9686339248865043,0.9051291939838025,0.12400776182474503,59.29590845108032,3879.390625
