epoch,accuracy,precision,recall,f1_score,loss,train_time,memory
1,0.9278674774585867,0.9325842696629213,0.9248865043334709,0.9287194363862412,0.2594547203587527,35.39895057678223,1283.63671875
2,0.9396099811281191,0.95099281791297,0.9290136194799835,0.939874739039666,0.07909986517416279,36.15179681777954,1287.45703125
3,0.9226252883204026,0.9706691109074244,0.8741229880313661,0.9198697068403909,0.022763474282940812,35.296523332595825,1287.69921875
4,0.9308031033759698,0.9657320872274143,0.8955839867932315,0.9293361884368309,0.0029429927788783253,38.9842164516449,1287.38671875
5,0.925141539106731,0.9686932849364791,0.8811390837804375,0.9228441754916793,0.0006379869283215398,29.649070024490356,1287.75390625
6,0.9194799748374921,0.971772327626099,0.8666941807676434,0.9162303664921466,0.0001802142145800399,29.14566969871521,1287.84765625
7,0.9192702872719648,0.971322849213691,0.8666941807676434,0.916030534351145,7.090089697840846e-05,29.39778971672058,1287.265625
8,0.9173830991822185,0.9707656612529002,0.8633924886504334,0.9139362166885102,3.456421378551749e-05,29.205761671066284,1287.7734375
9,0.9163346613545816,0.9715750232991612,0.8605035080478746,0.912672357189757,1.8413332588106525e-05,28.49058699607849,1287.9921875
10,0.9163346613545816,0.9715750232991612,0.8605035080478746,0.912672357189757,1.026802532136621e-05,28.56999135017395,1287.6484375
